No.,Category,question,answer,BLEU,BERT
14,General application help,"I¡¯m trying to change the TCP offset live in between 2 waypoints. The idea is to steer the z axis as it detects some lateral forces. I made a script that reads the forces and sets the TCP_offset related to it, but it is taken into consideration once it gets to a waypoint, not in between. ? Pablo?","Is your tool moving based on these forces? If not, I would look at using path_offsetting instead of changing the TCP Offset values.",0.0168,0.8556
15,General application help,I am setting an output on after a MoveP command with a circle Move. The output turns on before I get to the waypoint position. is there a way to have the output turn on when i get to the position? image482¡¿592 30.5 KB?,"When moving to a waypoint in a MoveP (or any move with a blend radius), the robot will never reach the waypoint. So that¡¯s why you¡¯re seeing the behaviour, you are seeing.",0.0976,0.8516
16,General application help,"We are using Euromap 67 on an Arburg IMM. We want to make the IMM stop the operator from crushing the robot arm in between the open mold when he or she manually ¡°close mold¡±. Would we be using Mold Area Free light curtain?, if so, how to implement that in Polyscope?","Yes you would use the Mold Area Free electrical signal that is on the IMMI board. In Polyscope, there are no software settings to configure.",0.0588,0.8525
17,General application help,I don¡¯t want it to open the existing program we have after powering on the cobot anymore. The check box is unchecked as if there is no default program to open. I¡¯m not sure how to go about this?,Yeah this one is always a little tricky. The robot actually boots with ¡°default.installation¡± and the setting to open a program by default lives inside THAT file.,0.064,0.8662
18,General application help,"How Do i control light which can change color from green, yellow and red in such a way that when i switch on the robot it automatically triger red ligjht and turns green when robot is activated. also, blinks green when programme is running. i am using python for programming where robot is in remote mode?",Since light is already connected. i am able to use setdigitaloutput function to turn on and off light but i want to light on when i switch on the robot not only when iam running the program,0.1448,0.8669
19,General application help,"We would like to connect the UR5 with an older Trumpf v85 hydraulic press, is there anyone who has done something similar or who could give us some advice on what we need and how to connect it?",There are a number of factors to consider when integrating your UR5 with another piece of equipment. Firstly (and most important) you need to consider the Safety you will need to integrate the E-Stop with the press.,0.0653,0.8625
20,General application help,"This is what I want to do: Move the robot to a position using freedrive. Copy the robot position (preferably with an array p[x,y,z,rx,¡¦]) Paste the robot position into a variable. It seems like something very basic, but I can¡¯t find a way to do it. Does anyone know how I could do it? The goal is to avoid typing manually the array. a lot?","Additional note: I¡¯m using a UR3e, with the latest polyscope FW. I¡¯m connected with the robot using VNC",0.0103,0.8399
21,General application help,"Let¡¯s say I put a sphere on the table on my left. And I want that robot to pick it up, then drop it off on a table across from me. After it places the sphere object away, the robot comes back to my side and waits for me to set another object. This time it¡¯s a cube. I place the cube on the right side of the table and I want that robot to take that and put it in a box on a different table. Throughout this play, I will have placed many spheres and cubes at random, and the robot has placed them all in their designated place. All in one program. How do I do that with a pop up screen where it waits for user input?","Go to assignment in the advanced tab in the program and in command you change the source from expression to operator image1279¡¿801 55.4 KB You can choose a whole number as request and in the operator message : "" 1 is a cube / 2 is a sphere ¡¦ And after that you the switch function.",0.0211,0.8176
22,General application help,This is my first post so forgive me if it¡¯s been addressed before. My company recently bought a UR20.I am surprised that there is no password protection when powering on the robot. It looks like anyone can use the robot?! Is there a way of restricting use? Dave?,"I don¡¯t think there currently is a way to do what you ask. There is a build-in way to make safety changes password protected, and I do believe that there do exist a company selling a software add-on aka Urcap that can make files including program files on the program password protected.",0.1213,0.8464
23,General application help,"UR Community, I have been using ROS with Moveit to move UR10e robot using a camera coordinate system to polish/sanding. I have been able to subscribe to the Force values published by the UR robot. But I have not been able to send coordinates with force to the robot. I wish to send a waypoint using Moveit or similar package in ROS, while applying a certain force for eg. maintaining 5NM force through the waypoint mission. Is there a way I could do it using ROS, Teach Pendant or script?",I do wish to control it using my Python Script that is running on a remote device connected via ethernet and I wish to send commands using the Python Script,0.0318,0.8345
24,General application help,"I need a condition that will popup message and pause the robot. I have a thread which contains if sensor is low, pop up message and halt. My issue is: When I have if sensor is low, popup message and halt, I cannot resume the program. If I set to only popup message, a message will popup, but the robot does not pause and just continues with its program. Any suggestions?","I¡¯ve also tried incorporating a loop and If condition to popup message before resuming but then the issue is this: loop and if condition for when sensor is low, popup message and dismiss to resume. However, the sensor is still low so when I dismiss popup message, it is stuck due to sensor still being low",0.191,0.8828
25,General application help,would someone inform me what the latest version of polyscope software for the UR5e is please? is this just for UR20? sw-5146-e-series ur20 Steve?,"If you go here and select your robot on the left and Software Update, you will see the latest software version: UR Download | Support Site | Universal Robots Yes, the latest is 5.14.6 for UR5e and UR20. 5.15 is only for UR20/UR30.",0.0706,0.8513
26,General application help,I¡¯m trying to get a UR20 to communicate with a HAAS mill for machine tending however I¡¯m running into issues with the Cell Safe signal. The HAAS is asking for a ¡°heartbeat¡± signal to verify cellsafe and I¡¯ve tried to send it that using a relay and a function generator and even a separate thread that toggles the output based on a cell-safe variable that is toggled in the main program. however for some reason the HAAS is still unable to see the cellsafe signal from the robot and won¡¯t trigger the autodoor functionality. in advance?,"I have never worked with a HAAS, but I imagine the heartbeat signal is more or less the same across CNC machine manufacturers. When I¡¯ve installed a URs on CNCs, I have used a PLC to convey PROFINET signals to PROFIBUS and also generate the heartbeat signal to the CNC, since the robot cannot generate a signal, while the program isn¡¯t running.",0.0763,0.8551
27,General application help,"If the coordinates of a point in the base coordinate system are known, how can we obtain the coordinates of that point in the TCP coordinate system£¿Which script can achieve this requirement£¿If you could help me, I would be extremely grateful?","At present, I use get_actual_tcp_pose() script to obtain the pose of TCP, then transform it to obtain the transformation matrix T of the TCP coordinate system and the base coordinate system. and finally use the transformation matrix T to obtain the coordinates of points in TCP coordinate system.",0.2382,0.8517
28,General application help,I have a lot of installation variables that various programs use. I have a select few which are favorites that the operator will only see when running the program. There is one variable that the operators need to adjust every now and then via the installation variables page. Is there any way to hide the other variables so that only the variables that the operators adjust will be visible and the operators can¡¯t accidentally change the wrong ones? So far we are only using the pendant in advanced for any tips?,"There¡¯s no way to hide select variables in the Installation tab. My best suggestion would be to prompt the operator every time the program starts, asking if they want to change this specific variable, using the Assignment node and then choosing Operator Input in the top right corner",0.0838,0.8586
29,General application help,IMG202312151459241920¡¿1440 198 KB In the photo you can see my pallet layout. I need to pick up 4 products in 1 square. when this is done I must move on to the next square. is it possible to program this in 1 program with the same feature? So that I keep moving my zero point to a different location? Kind Dennis?,"I don¡¯t think you it will be possible to achieve this with the Palletize wizard. Maybe possible, but not optimal.",0.0264,0.8324
30,General application help,"What is the best way to tie an emergency stop into an external DC power supply? I have an additional power supply that runs with no interaction to my UR-10E but I want it to be shut off when I press the Emergency Stop. Originally, I was going to tie a relay into the safety pins. Is there a better way to do this?",Relay is the way to go. Use the configurable output to drive the relay coil and the power supply will run through the contacts,0.044,0.8607
31,General application help,"Hej, I¡¯m trying to rotate the tool while simultaneously having the arm follow a predefined path. My approach was to obtain the joint positions and modifying only the final value by adding 90 degrees, allowing for a 90-degree turn of the tool using moveJ. However, I also need the tool to follow a specific path as it rotates.I tried using moveL, but this seems to override the original moveJ command. My question is: Is there a way to move to TCP coordinates without altering the orientation? in advance!?","As i see it you have a couple of options. use the tool_path_offset functionality, this would require having a thread that controled the rotation in the tool frame.",0.0142,0.8445
32,General application help,"So im trying to move my tcp in my custom feature using poseAdd()¡¦i cannot use poseadd() in relation to the base feature because of offset of the work table¡¦so for example i want to use PoseAdd(waypoint1,p[0.1,0,0]) so that i make another waypoint 100mm in x direction?","you need to use the pose_trans() function in combination with pose_inv() to transform the coordinate system first. Try: pos = pose_trans(pose_inv(waypoint1), p[0.1,0,0,0,0,0]) movej(pos) the result should be relative movement in the waypoint1 coordinate system for 100mm along its X axis.",0.0654,0.8719
33,General application help,"Hy, I am a beginner in the world of robots, and have been a computer scientist for several years. I would like a menu to choose which cycle to start. How to do this? for reading and for any help you can give me. menu1536¡¿864 10.5 KB?","Do you mean popup the Menu in UR¡¯s teach pendant? you can try to assign a variable by operator, then choose the function depend on that variable.",0.0476,0.8312
34,General application help,I have a machine tending application and I would like to wire the e-stop of the cnc machine to the e-stop of my UR10e. I think the wiring of this would be identical to two separate UR cobots getting wired with a safety relay. Anyone have a recommendation for a relay to use? The only way I can think to wire it would involve two separate relays to isolate the signals from each robot. Is there a special kind of input/output on a safety relay that performs this function without having to purchase two units? Dusty?,Page 35 of the User Manual shows how to connect additional e-stops and to share an e-stop with another machine. You can set up a shared emergency stop function between the robot and other machines by configuring the following I/O functions via the GUI.,0.0254,0.8558
35,General application help,"In this application, I have the program depalletize an item, move it to a waypoint, then palletize it back. (Note: Pallet is 8x4 = 32) I want the program to halt and popup a message AFTER the 32nd pallet item. However, the only options I see is to add an action after the palletizing. The problem with this is the added action after palletizing, the action occurs after the first item palletized and not the the 32nd item. How can do I get the program to finish the pallet template before adding an action? in advance!?","So, from your question, I¡¯m unsure whether you have found the option to actually add an action after end of palletizing, or you¡¯re adding actions after the palletizing sequence. There¡¯s an option in the Pallet command, which enables either actions to be added before palletizing or after palletizing.",0.0693,0.8572
36,General application help,I have an application where I am attempting to limit the robot into a box so that it cannot break certain planes and is confined into a three sided box. I cannot have it E-stop or protective stop. I need it to be able to be jogged out of the position where it would have broken the plane without any prompts on the pendant. SO basically it can jog around inside the box without ever needing to be resumed or restarted?,"What you¡¯re describing is the ability to enable/disable Safety Planes based on whether a program is running or not, which the UR cannot do. If you use safety planes, you would be unable to program any points that lie outside the box, so therefore you could guarantee at a Safety Rating Level that the robot cannot operate outside.",0.051,0.8442
37,General application help,What kind of data cable connects the computer and the robot?,Are you talking about the controller and the robot arm? It¡¯s a custom cable made by UR.,0.1213,0.885
38,General application help,"I am a current Intern, and my task is to program a robot to write. for example, I want to program the robot to draw a sine wave. Please, I need a clear answer on how to go about this, I am the only one working on this provide and am new to robotics. Your guide will be of great help?","I did this some time ago for a demo. first create a Good TCP (tip of the pen) Create a Plane with x along the wavelength direction def draw_sine_wave(): Define sine wave parameters amplitude = 0.25 # Amplitude of the sine wave (adjust as needed) wavelength = 0.5 # Wavelength of the sine wave (adjust as needed) frequency = 0.1 # Frequency of the sine wave (adjust as needed) Move to the starting position start_pos = pose_trans(Wave_plane, p[0, 0, 0, 0, 0, 0]) movel(start_pos, a=1.2, v=0.25) Calculate the number of points along the x Axis to draw the sine wave points = 100 delta_x = wavelength / points Draw the sine wave (For Loop) for i in range(points + 1): x = i * delta_x y = amplitude * sin(2 * pi * frequency * x) pose_waypoint = pose_trans(pose_start, p[x, y, 0, 0, 0, 0]) movel(pose_waypoint, a=0.5, v=0.1) end end",0.0241,0.7896
39,General application help,"I am currently working with a Universal Robot using the PolyScope user interface. I need this robot to communicate with my Matlab code which does image processing and then classifies the image to either category A, B or C. I have created a variable on the Matlab code called ¡°imageSignal¡± which returns either 1, 2 or 3 depending on the category. What I need is to send this variable to the robot in order for it to know what to do in case imageSignal =1, 2 or 3. I have read about RTDE and using TCP/IP communication but I do not know how to do it with Matlab or where to start. Could any of you help me?","mathworks.com Modbus Communication - MATLAB & Simulink Communicate with Modbus servers to access controllers, probes, and other instruments Maybe take a look at Modbus communication? I¡¯ve had really good success with this on the UR robot in the past.",0.0161,0.833
40,General application help,"Is there any way to run a routine in reverse from the last movement added? the goal of this is to have the robot retrace its own steps, i.e. in reverse starting from the final position of the routine to end with the first move added to the routine. all this without the need to add each movement manually, perhaps with some existing urcap?","Currently nothing exists on the robot to do this. It is probably possible to write a CAP for it, but I haven¡¯t personally seen one (but I also haven¡¯t looked)",0.0267,0.8385
41,General application help,In the manual P38 it states that ¡°All digital outputs can be disabled automatically when program execution is stopped. See Polyscope Page 101¡±. but I can find no reference to this feature can anyone help?,"In the ¡°installation¡± menu, then in ¡°I/O SETUP¡± you can click any output and at the lower part of the scrren there is a dropdown called ¡°action in program¡± with few defaults actions you can choose for the output to occur with the action of the program. image1290¡¿828 68.9 KB I hope that this is what you were asking for!",0.0504,0.8409
42,General application help,I would like trying to use an analog input to control the speed of the robot and i can¢¥t find anything on it . has it been tried ?,You could monitor the Analogue input in a task and scale it to a variable. then you could write a script to control the Speed slider over port 30002 and continually write the value.,0.1194,0.8609
43,General application help,"I changed the welding gun for better reach and the TCP is not right, i changed the active payload , the gun angle. When i modify the TCP points they work okk but when i calibrate in auto tcp after that it is out of position. can someone help whats the full steps/ right way to do that ?","Just teach a new TCP using the TCP wizard like before. Don¡¯t forget to assign a new Orientation as well, since you¡¯ve changed the angle of the torch",0.0481,0.8389
44,General application help,"I am working on an error recovery procedure on how to get the robot to move out of a box safely. On an open with no obstacle application, I move up to a safe level and then move to my safe pose. In my current application, I have many holes/boxes that the tool/tcp is inside a hole. When I power up the system, I need to determine the box that I am in to move through a path back to my safe and ready pose. Currently, I am using a bunch of if-then to do this. My system is UR5e. Has anyone done something similar?","I always have a bunch of If statements, too, when making a safe home move. I don¡¯t think there¡¯s a better way to do it yet.",0.0125,0.8385
45,General application help,"My UR offers a ¡°UR Insight¡± monitoring package and Robotiq offers ¡°Robotiq Insights¡±. They appear to perform the same function. Are they the same? Does UR just provide Robotiq insight on license? I know UR insights has a standard and pro version. When I download the UR Cap for UR Insight, it comes up saying myUR monitioring. I like the look of robotiq insight, does UR Insight have the same features?","They¡¯re not the same, no. UR Insight does not offer remote access to the actual interface, but provides a dashboard for monitoring all your robots and their current status (running, error etc), as far as I am aware.",0.0371,0.8384
46,General application help,"I recently began learning how to use the UR5 robot, and I started with the learning modules on the website. They were very good, but now I am looking for more material to continue learning. Ideally, I would like some sample code that I can download and run so that I can see how it works and use that knowledge for future projects. Code that uses more advanced commands like switches, variables, script, etc. Would anyone be able to provide me with anything like that/know where I can find it?","You may consider signing up for a Basic/Advanced Core Training if you¡¯re with a company. If you¡¯re just an individual, or a student, UR¡¯s website has some various examples of things: Articles | Support site | Universal Robots Otherwise, you can learn a lot just by poking around on the pendant and trying things out.",0.0257,0.8449
47,General application help,"I am trying to connect my Arduino to my UR5E robot. The Arduino has a push button and limit switch circuit connected to it. When the push button and limit switch are pressed, the Arduino should read that and send a signal out to the robot. How do I connect the Arduino output to the robot¡¯s input? I just need the robot to read a HIGH on the configurable or digital inputs?","The robot¡¯s inputs/outputs are 24v, while the Arduino is likely 3.3v or 5v outputs. This is a common application for a relay.",0.0136,0.8573
48,General application help,"I want to connect a Siemens S7-1200 to our UR3e¡¯s. I want it to collect data from them via PROFINET so it can log data on the in-built webserver. Presumably you can send data such as values and times like this? If the S7-1200 isn¡¯t turned on and the UR tries to send data to it during the program, will it cause an error and interrupt the program?","Yes you can do it, you just have to install the UR3 gsdml on your PLC and it will generate a varaible table where you have some float registers where you can send values and time. About sending values from the UR to the PLC when the PLC is turned off, i would not say that the UR program stops since it is only read/writing registers and doesn¢¥t know if the PLC is reading/wrtiting them.If you add verifications or you have to wait and specific value from the PLC then it will be different but as long as you just read/write registers it doesn¢¥t matter.",0.0994,0.8427
49,General application help,"We have an old UR5 from 2013. I have some issues running it in Force mode. It shakes a lot and I am hoping to fix it with a firmware update. Currently, it is running Polyscope 1.8. I want to update it to something that Force mode would work smoothly. I know the fact that it is such an old robot and it does not support all new updates. I would like to check what the latest supported version of Polyscope is for our robot. How can I check it?","I would say check this page by UR Universal Robots - LEGACY DOWNLOAD CENTER (universal-robots.com) I did the upgrades exactly as they write it there and didn¡¯t have any problems. With one notice, read the update logs/notes to know what you could expect by/after Upgrading (for example changes in Network or such) Likely since you got Polyscope 1.8 its CB2 or CB2.1 Check the list under ROBOT SOFTWARE UPDATE LEGACY (POLYSCOPE UPDATE)",0.0422,0.8361
50,General application help,"I want to obtain the theoretical torques of each join when the robot is applying a force in the tool, using the next formula: Maybe, Someone could provide me with the Jacobian matrix of the Ur5e?","The UR5e homogenous matrix and the jacobian are in the next publications: MDPI Singularity Analysis and Complete Methods to Compute the Inverse Kinematics... Improving the strategies employed to control robotic arms is of great importance because of the increase in their use in advanced supervisory control strategies, such as digital twins.",0.1188,0.8446
51,General application help,"Toogether, I saved a location as an install variable so I can access that location from different programs. Now I have the problem that the TCP coordinates are correct, but the joint positions are changed every time. I define a point in space (n_20) by teaching the robot. In the next step, I assign the value of n_20 to an installation variable (n20): n20=n_20. When I approach n_20, the joints have the following positions (Image 1), and when approaching n20 the others (Image 2). Bild11920¡¿2560 662 KB Bild21920¡¿2560 724 KB Why does a robot have to change its joint positions anyway? And how can this be avoided? in advance for your advice!?","robots can actually reach a point with different joint posotions, i think that is what is happening here ,depending how near the robot is to the point it will take one or the other. If you wanna make sure it always takes the same trajectory , you can make the point as joint positions instead of X,Y,Z,Rx,Ry,Rz so no matter the trajectory it will always reach the joint positions ,but joint position movements doesn¢¥t take care of the TCP so if you actually want the robot to reach that point with your desired TCP, its better to just make a joint position point right before your actual point and you will always make sure it reaches the point with the same configuration.",0.1041,0.8201
52,General application help,"My UR5 takes in 0-5V but i want to use it to change position of the arm. so i want to map 2.5-5V is one direction and 0-2.5 is moving opposite direction. preferably in the code block thingy, but if thats not possible, urscipt would be good?","If I understand your request correct, it¡¯s a simple task to do: If you however want to move to a specific length in one direction determined by the analog input, it won¡¯t be as simple",0.092,0.8401
53,General application help,"I have the same confusion as the guy down below but i want to connect an analog signal from the arduino to the UR5. Relay Wiring to UR10E General Application Help: How do I? I¡¯m a bit confused on how to wire up a relay to my UR-10E. I was inspired by a youtube video but it¡¯s a bit vague as to the wiring. Arduino VS Universal Robots UR5 - YouTube Would I be able to wire my relay/arduino as shown in the diagram below [relay_diagram] I found this explanation but im still confused, due to the example just having the sensor https://www.universal-robots.com/articles/ur/interface-communication/connecting-internal-inputs-and-outputs-io-on-the-robots-controller/ Screenshot_20230301_014014_Samsung Internet1080¡¿1016 61.7 KB I want to connect a 3 axis accelerometer to the UR5 and make the xyz positions to a variable to send to the waypoint function. How would i do this? Is the arduino necessary? This is my current arduino setup. Screenshot_20230301_020354_Chrome1080¡¿1267 133 KB?","Some insights here: As the documentation says, it¡¯s an ANALOG input. And the sensor used on the example of the documentation must be an ANALOG sensor in order to be connected directly to the robot, and within the range values that the input allows (4-20mA, and/or 0-10V).",0.0172,0.8123
54,General application help,Is it possible to select a specific program with the plc and send a signal to the robot to load this selected program? so i can change the robot program with article change of the line? i dont want to do this with the teach pendant?,try to use the Dashbord Server of the UR. I connected my PLC (Siemens) with the UR and i could send directly strings to the Robot.,0.1044,0.8582
55,General application help,I¡¯m a bit confused on how to wire up a relay to my UR-10E. I was inspired by a youtube video but it¡¯s a bit vague as to the wiring. Arduino VS Universal Robots UR5 - YouTube Would I be able to wire my relay/arduino as shown in the diagram below relay_diagram1275¡¿1650 206 KB?,"this will cause a shotr circuit when the relay is at NC The common is correct 24v into the relay but you will need to wire the NO, and NC to Digital inputs (DIO#) when the relay switches it will pass 24v through the relay and back onto one of the DIO¡¯s Hope this helps!",0.0519,0.8241
56,General application help,Can I use in a application the ur3 as a profinet master?,The robot can only function as a slave/adapter in Profinet/EIP networks. The robot can be a master or slave for Modbus,0.0976,0.8582
57,General application help,"I am working on a pick and place application which utilizes a vacuum pressure switch and valve. It¡¯s a PNP 1 output sensor that I am trying to wire to the controller, also on the valve side, I have a supply valve and a release valve. Can anyone please provide some general guidance on wiring a vacuum device with pressure switch and valve?","Since it¡¯s PNP, it should just be plug and play, if I¡¯m not missing something in your question. It is fairly simple to wire digital inputs and digital outputs.",0.0217,0.8557
58,General application help,"I am trying to use the command ¡°socked_open¡± but it never works, I use this program on the robot UR3. BeforeStart open?socket_open(¡°127.0.0.1¡±,21) Loop open? False open?socket_open(¡°127.0.0.1¡±,21) targetPos?p[0,0,0,0,0,0] counter?0 And the variable ¡°open¡± never go to True, I used different IP address for the server and different ports but It never works. I do not know if it some configuration that I need to do previous or what is the problem. the communication with the PC works because I use the command ¡°ping with the IP address¡± on the ¡°cmd¡± and everything works but the ¡°socked_open¡± does not works Someone can help me!?","Are you running a server on the robot at port 21? The IP address you are using is the local host for the robot, not another computer.",0.0174,0.8171
59,General application help,"I would like to know how to disable the edit buttons at the bottom of the program screen, as we have had some instances of accidental moving of lines and other problems in the program due to the buttons being always enabled. One wrong press of a button and a line is moved, a function added etc. Anybody know a way to disable these buttons?","You can¡¯t disable individual buttons. If you set the robot to ¡°Remote¡± mode, then all of the program editing is locked out.",0.0247,0.8638
60,General application help,"Is it possible for URScript move commands to perform path planning with obstacle avoidance? For instance, declaring a set of cuboid regions of space that the robot body should not collide with, and then run all the following move commands with those obstacles taken into account. This is because it would be very desirable to have the feature inside the UR controller itself and not having to rely on complicated external frameworks?","this is currently not possible to the extend you describe it. There is the option to use safety planes, which can be set to prevent the robot from moving through.",0.029,0.85
61,General application help,How Do i run polyscope default program remotely with variables send to polyscope program from external python code running on host ( pc/raspberry pi). i tried looking online material but could not find way to run default polyscope script on robot?,you need to use the Dashboard server port 29999 https://www.universal-robots.com/articles/ur/dashboard-server-e-series-port-29999/ It has examples of python code you can download to help you,0.0392,0.8167
62,General application help,"I¡¯m currently working on a glue dispensing application where the tool needs to be at 20 degree angle from the location of pins while dispensing glue. I have the tool path extracted as G code from the CAD model. Is there a way, I can maintain a 20 degree angle tool orientation as the tool moves around the part in a ¡®U formation¡¯?","does the robot run the path at 90* to the part right now? if so, you should be able to add the 20* tilt in the TCP settings",0.0346,0.8437
